id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,google_product_category,color,quantity_to_sell_on_facebook,custom_label_0,custom_label_1,custom_label_2
google-pixel-9-128gb-used-non-pta-obsidian,"Google Pixel 9 128GB Obsidian — Used, Non-PTA",Google Pixel 9. 128GB storage. Colour: Obsidian. Condition: Used. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,used,125000 PKR,https://www.smartcell.pk/product/google-pixel-9-128gb-used-non-pta?color=Obsidian,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Obsidian,3,Non-PTA,Used,128GB
google-pixel-9-128gb-used-non-pta-peony,"Google Pixel 9 128GB Peony — Used, Non-PTA",Google Pixel 9. 128GB storage. Colour: Peony. Condition: Used. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,used,125000 PKR,https://www.smartcell.pk/product/google-pixel-9-128gb-used-non-pta?color=Peony,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Peony,3,Non-PTA,Used,128GB
google-pixel-8-128gb-used-pta-approved-hazel,"Google Pixel 8 128GB Hazel — Used, PTA Approved",Google Pixel 8. 128GB storage. Colour: Hazel. Condition: Used. PTA Approved. Available at SmartCell (smartcell.pk).,in stock,used,85000 PKR,https://www.smartcell.pk/product/google-pixel-8-128gb-used-pta-approved?color=Hazel,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Hazel,3,PTA Approved,Used,128GB
google-pixel-8-128gb-used-pta-approved-obsidian,"Google Pixel 8 128GB Obsidian — Used, PTA Approved",Google Pixel 8. 128GB storage. Colour: Obsidian. Condition: Used. PTA Approved. Available at SmartCell (smartcell.pk).,in stock,used,85000 PKR,https://www.smartcell.pk/product/google-pixel-8-128gb-used-pta-approved?color=Obsidian,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Obsidian,3,PTA Approved,Used,128GB
google-pixel-6-256gb-used-pta-approved-stormy-black,"Google Pixel 6 256GB Stormy Black — Used, PTA Approved",Google Pixel 6. 256GB storage. Colour: Stormy Black. Condition: Used. PTA Approved. Available at SmartCell (smartcell.pk).,in stock,used,60000 PKR,https://www.smartcell.pk/product/google-pixel-6-256gb-used-pta-approved?color=Stormy%20Black,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Stormy Black,2,PTA Approved,Used,256GB
apple-iphone-13-128gb-new-non-pta-blue,"Apple iPhone 13 128GB Blue — New, Non-PTA",Apple iPhone 13. 128GB storage. Colour: Blue. Condition: New. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,new,83000 PKR,https://www.smartcell.pk/product/apple-iphone-13-128gb-new-non-pta?color=Blue,https://www.smartcell.pk/assets/no-image.png,,Apple,Electronics > Communications > Telephony > Mobile Phones,Blue,1,Non-PTA,New,128GB
google-pixel-9a-128gb-open-box-non-pta-peony,"Google Pixel 9a 128GB Peony — Open Box, Non-PTA",Google Pixel 9a. 128GB storage. Colour: Peony. Condition: Open Box. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,refurbished,115000 PKR,https://www.smartcell.pk/product/google-pixel-9a-128gb-open-box-non-pta?color=Peony,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Peony,1,Non-PTA,Open Box,128GB
google-pixel-9-pro-xl-128gb-open-box-non-pta-porcelain,"Google Pixel 9 Pro XL 128GB Porcelain — Open Box, Non-PTA",Google Pixel 9 Pro XL. 128GB storage. Colour: Porcelain. Condition: Open Box. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,refurbished,165000 PKR,https://www.smartcell.pk/product/google-pixel-9-pro-xl-128gb-open-box-non-pta?color=Porcelain,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Porcelain,1,Non-PTA,Open Box,128GB
google-pixel-9-pro-xl-256gb-open-box-non-pta-obsidian,"Google Pixel 9 Pro XL 256GB Obsidian — Open Box, Non-PTA",Google Pixel 9 Pro XL. 256GB storage. Colour: Obsidian. Condition: Open Box. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,refurbished,170000 PKR,https://www.smartcell.pk/product/google-pixel-9-pro-xl-256gb-open-box-non-pta?color=Obsidian,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Obsidian,2,Non-PTA,Open Box,256GB
google-pixel-9-pro-xl-512gb-used-pta-approved-hazel,"Google Pixel 9 Pro XL 512GB Hazel — Used, PTA Approved",Google Pixel 9 Pro XL. 512GB storage. Colour: Hazel. Condition: Used. PTA Approved. Available at SmartCell (smartcell.pk).,in stock,used,225000 PKR,https://www.smartcell.pk/product/google-pixel-9-pro-xl-512gb-used-pta-approved?color=Hazel,https://www.smartcell.pk/assets/no-image.png,,Google,Electronics > Communications > Telephony > Mobile Phones,Hazel,2,PTA Approved,Used,512GB
