id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,google_product_category,color,quantity_to_sell_on_facebook,custom_label_0,custom_label_1,custom_label_2
google-pixel-8-128gb-used-pta-approved-hazel,"Google Pixel 8 128GB Hazel — Used, PTA Approved",Google Pixel 8. 128GB storage. Colour: Hazel. Condition: Used. PTA Approved. Available at SmartCell (smartcell.pk).,in stock,used,85000 PKR,https://www.smartcell.pk/product/google-pixel-8-128gb-used-pta-approved?color=Hazel,https://res.cloudinary.com/dvvqiwfmk/image/upload/v1779718377/phone-images/variants/ilv8hydyucqckgi7mlso.jpg,,Google,Electronics > Communications > Telephony > Mobile Phones,Hazel,3,PTA Approved,Used,128GB
google-pixel-8-128gb-used-pta-approved-obsidian,"Google Pixel 8 128GB Obsidian — Used, PTA Approved",Google Pixel 8. 128GB storage. Colour: Obsidian. Condition: Used. PTA Approved. Available at SmartCell (smartcell.pk).,in stock,used,85000 PKR,https://www.smartcell.pk/product/google-pixel-8-128gb-used-pta-approved?color=Obsidian,https://res.cloudinary.com/dvvqiwfmk/image/upload/v1779718402/phone-images/variants/oufqfdafscm2frsfhxuj.jpg,,Google,Electronics > Communications > Telephony > Mobile Phones,Obsidian,3,PTA Approved,Used,128GB
google-pixel-9-128gb-used-non-pta-obsidian,"Google Pixel 9 128GB Obsidian — Used, Non-PTA",Google Pixel 9. 128GB storage. Colour: Obsidian. Condition: Used. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,used,125000 PKR,https://www.smartcell.pk/product/google-pixel-9-128gb-used-non-pta?color=Obsidian,https://res.cloudinary.com/dvvqiwfmk/image/upload/v1779718271/phone-images/variants/cnn1w1mcxxfd6ljk41ui.jpg,,Google,Electronics > Communications > Telephony > Mobile Phones,Obsidian,4,Non-PTA,Used,128GB
google-pixel-9-128gb-used-non-pta-peony,"Google Pixel 9 128GB Peony — Used, Non-PTA",Google Pixel 9. 128GB storage. Colour: Peony. Condition: Used. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,used,125000 PKR,https://www.smartcell.pk/product/google-pixel-9-128gb-used-non-pta?color=Peony,https://res.cloudinary.com/dvvqiwfmk/image/upload/v1779718285/phone-images/variants/xedpnwna9fgzm95nngzg.jpg,,Google,Electronics > Communications > Telephony > Mobile Phones,Peony,4,Non-PTA,Used,128GB
google-pixel-9-128gb-used-non-pta-porcelain,"Google Pixel 9 128GB Porcelain — Used, Non-PTA",Google Pixel 9. 128GB storage. Colour: Porcelain. Condition: Used. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,used,125000 PKR,https://www.smartcell.pk/product/google-pixel-9-128gb-used-non-pta?color=Porcelain,https://res.cloudinary.com/dvvqiwfmk/image/upload/v1779718309/phone-images/variants/cqxgauxskxqzbpfglfog.jpg,,Google,Electronics > Communications > Telephony > Mobile Phones,Porcelain,4,Non-PTA,Used,128GB
google-pixel-10-pro-xl-256gb-used-non-pta-jade,"Google Pixel 10 Pro XL 256GB Jade — Used, Non-PTA",Google Pixel 10 Pro XL. 256GB storage. Colour: Jade. Condition: Used. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,used,235000 PKR,https://www.smartcell.pk/product/google-pixel-10-pro-xl-256gb-used-non-pta?color=Jade,https://res.cloudinary.com/dvvqiwfmk/image/upload/v1779718882/phone-images/variants/m3rxesxmhxcthnheqg1k.jpg,,Google,Electronics > Communications > Telephony > Mobile Phones,Jade,2,Non-PTA,Used,256GB
google-pixel-10-pro-xl-256gb-used-non-pta-moonstone,"Google Pixel 10 Pro XL 256GB Moonstone — Used, Non-PTA",Google Pixel 10 Pro XL. 256GB storage. Colour: Moonstone. Condition: Used. Non-PTA. Available at SmartCell (smartcell.pk).,in stock,used,235000 PKR,https://www.smartcell.pk/product/google-pixel-10-pro-xl-256gb-used-non-pta?color=Moonstone,https://res.cloudinary.com/dvvqiwfmk/image/upload/v1779718905/phone-images/variants/uoo0suxshhjmflyg5tlb.jpg,,Google,Electronics > Communications > Telephony > Mobile Phones,Moonstone,2,Non-PTA,Used,256GB
google-pixel-9-pro-xl-256gb-used-pta-approved-hazel,"Google Pixel 9 Pro XL 256GB Hazel — Used, PTA Approved",Google Pixel 9 Pro XL. 256GB storage. Colour: Hazel. Condition: Used. PTA Approved. Available at SmartCell (smartcell.pk).,in stock,used,210000 PKR,https://www.smartcell.pk/product/google-pixel-9-pro-xl-256gb-used-pta-approved?color=Hazel,https://res.cloudinary.com/dvvqiwfmk/image/upload/v1779704693/phone-images/variants/mnnrwdnm5zbyqxtuvqn0.jpg,,Google,Electronics > Communications > Telephony > Mobile Phones,Hazel,2,PTA Approved,Used,256GB
google-pixel-9-pro-xl-512gb-used-pta-approved-hazel,"Google Pixel 9 Pro XL 512GB Hazel — Used, PTA Approved",Google Pixel 9 Pro XL. 512GB storage. Colour: Hazel. Condition: Used. PTA Approved. Available at SmartCell (smartcell.pk).,in stock,used,225000 PKR,https://www.smartcell.pk/product/google-pixel-9-pro-xl-512gb-used-pta-approved?color=Hazel,https://res.cloudinary.com/dvvqiwfmk/image/upload/v1779704727/phone-images/variants/pfu4r78oh4ldljf5ziv3.jpg,,Google,Electronics > Communications > Telephony > Mobile Phones,Hazel,2,PTA Approved,Used,512GB
google-pixel-9-pro-xl-512gb-used-pta-approved-obsidian,"Google Pixel 9 Pro XL 512GB Obsidian — Used, PTA Approved",Google Pixel 9 Pro XL. 512GB storage. Colour: Obsidian. Condition: Used. PTA Approved. Available at SmartCell (smartcell.pk).,in stock,used,225000 PKR,https://www.smartcell.pk/product/google-pixel-9-pro-xl-512gb-used-pta-approved?color=Obsidian,https://res.cloudinary.com/dvvqiwfmk/image/upload/v1779704757/phone-images/variants/qoxl9ezj6joi9sotjdmj.jpg,,Google,Electronics > Communications > Telephony > Mobile Phones,Obsidian,2,PTA Approved,Used,512GB
